Array Size;Selection 0-5;Selection 0-4000;Selection almost;Selection reversed;Bubble 0-5;Bubble 0-4000;Bubble almost;Bubble reversed;Bubble_1 0-5;Bubble_1 0-4000;Bubble_1 almost;Bubble_1 reversed;Bubble_1+2 0-5;Bubble_1+2 0-4000;Bubble_1+2 almost;Bubble_1+2 reversed;Insertions 0-5;Insertions 0-4000;Insertions almost;Insertions reversed;Binary Insertions 0-5;Binary Insertions 0-4000;Binary Insertions almost;Binary Insertions reversed;Counting 0-5;Counting 0-4000;Counting almost;Counting reversed;Digit 0-5;Digit 0-4000;Digit almost;Digit reversed;Merge 0-5;Merge 0-4000;Merge almost;Merge reversed;Quick 0-5;Quick 0-4000;Quick almost;Quick reversed;Heap 0-5;Heap 0-4000;Heap almost;Heap reversed;Shell Ciura 0-5;Shell Ciura 0-4000;Shell Ciura almost;Shell Ciura reversed;Shell 0-5;Shell 0-4000;Shell almost;Shell reversed;
100;51486;52056;51105;58587;66576;67206;60213;75045;71366;73196;2426;90106;71977;73062;1781;100416;32700;35850;885;75045;35467;39223;11340;66318;74494;74494;74494;74494;49373;49373;49373;49373;26419;26419;26419;26419;16188;11382;29533;44209;21932;23684;24893;21552;37779;41139;3843;82947;9397;12997;5707;10279;
200;203051;204440;202223;232187;265631;271349;240431;300095;283358;302602;4862;360206;288263;311288;4035;400816;127775;156365;1775;300095;120427;145770;26431;246517;77594;77594;77594;77594;73573;73573;73573;73573;59667;59667;59667;59667;51937;28511;109707;168459;49611;54682;58267;50832;143451;173947;9051;327259;21426;32010;13524;24468;
300;454580;457139;453341;520787;598237;611275;540649;675145;640058;682150;7298;810306;653000;708867;6289;901216;290605;355795;2665;675145;256290;312259;42947;538084;80694;80694;80694;80694;97773;97773;97773;97773;95363;95363;95363;95363;106567;46578;240481;372709;79993;89598;94966;83278;321683;391219;14547;731859;33812;54458;23552;41228;
400;806148;810048;804459;924387;1058061;1081617;960867;1200195;1123872;1203218;9734;1440406;1129796;1242213;8543;1601616;489525;607305;3555;1200195;419835;518176;60413;940734;83794;83794;83794;83794;121973;121973;121973;121973;132963;132963;132963;132963;178002;60336;421855;656959;113166;126328;133882;117946;539302;664934;20934;1297350;47909;77627;31349;56837;
500;1257635;1262597;1255577;1442987;1655231;1689083;1501085;1875245;1759326;1866390;12170;2250506;1782298;1922520;10797;2502016;775175;944435;4445;1875245;647271;787633;77993;1453384;86894;86894;86894;86894;146173;146173;146173;146173;170563;170563;170563;170563;270208;94697;653829;1021209;145113;164728;173038;154027;849442;1029986;27330;2022850;57316;95386;39190;76450;
600;1809188;1815512;1806695;2076587;2379502;2434219;2161303;2700295;2531180;2705188;14606;3240606;2559474;2793713;13051;3602416;1096330;1369915;5335;2700295;901619;1122124;97188;2077687;89994;89994;89994;89994;170373;170373;170373;170373;211155;211155;211155;211155;379676;102268;936403;1465459;181339;204282;215171;191139;1197454;1489278;33726;2908350;73673;125675;53585;94337;
700;2460804;2468388;2457813;2825187;3245355;3318948;2941521;3675345;3470916;3681480;17042;4410706;3539131;3797609;15305;4902816;1525395;1893360;6225;3675345;1236405;1530006;116554;2812237;93094;93094;93094;93094;194573;194573;194573;194573;252155;252155;252155;252155;503597;120108;1269577;1989709;216874;243909;258579;229946;1660570;2053066;40122;3953850;84763;142507;62515;114319;
800;3212342;3221474;3208931;3688787;4238492;4329686;3841739;4800395;4530334;4808636;19478;5760806;4614863;4957446;17559;6403216;1990880;2446850;7115;4800395;1597593;1960770;135920;3656787;96194;96194;96194;96194;218773;218773;218773;218773;293155;293155;293155;293155;651459;139061;1653351;2593959;252572;285413;301605;268825;2163425;2649793;47409;5160241;110918;190208;71390;129566;
900;4063826;4074635;4060049;4667387;5365195;5473633;4861957;6075445;5725636;6082466;21914;7290906;5828983;6293036;19813;8103616;2524195;3066385;8005;6075445;2008645;2439688;155400;4611337;99294;99294;99294;99294;242973;242973;242973;242973;334155;334155;334155;334155;824755;178294;2087725;3278209;288464;327736;345419;309608;2738641;3316977;54705;6526641;120035;241841;80309;154577;
1000;5015364;5027202;5011167;5760987;6613626;6754869;6002175;7500495;7063258;7495152;24350;9001006;7162800;7719064;22067;10004016;3066150;3772365;8895;7500495;2426655;2982332;174880;5675887;102394;102394;102394;102394;267173;267173;267173;267173;375155;375155;375155;375155;1003156;193613;2572699;4042459;324347;369865;388677;348113;3323073;4076369;62001;8053041;127039;232249;89239;172759;
1100;6067001;6080027;6062285;6969587;8015696;8173784;7262393;9075545;8528198;9065014;26786;10891106;8659221;9354983;24321;12104416;3776300;4566740;9785;9075545;2967937;3590238;195747;6851862;105494;105494;105494;105494;291373;291373;291373;291373;418739;418739;418739;418739;1200247;206707;3108273;4886709;359494;413662;434864;390774;4086913;4930049;69297;9739441;151868;255746;110234;191270;
1200;7218467;7232981;7213403;8293187;9544516;9729340;8642611;10800595;10168248;10781880;29222;12961206;10352384;11055374;26575;14404816;4520200;5444320;10675;10800595;3534956;4260627;217013;8138312;108594;108594;108594;108594;315573;315573;315573;315573;463139;463139;463139;463139;1419247;225279;3694447;5810959;398280;457463;481824;431857;4886753;5872481;76593;11585841;172694;305552;120242;212546;
