Array Size;Selection 0-5;Selection 0-4000;Selection almost;Selection reversed;Bubble 0-5;Bubble 0-4000;Bubble almost;Bubble reversed;Bubble_1 0-5;Bubble_1 0-4000;Bubble_1 almost;Bubble_1 reversed;Bubble_1+2 0-5;Bubble_1+2 0-4000;Bubble_1+2 almost;Bubble_1+2 reversed;Insertions 0-5;Insertions 0-4000;Insertions almost;Insertions reversed;Binary Insertions 0-5;Binary Insertions 0-4000;Binary Insertions almost;Binary Insertions reversed;Counting 0-5;Counting 0-4000;Counting almost;Counting reversed;Digit 0-5;Digit 0-4000;Digit almost;Digit reversed;Merge 0-5;Merge 0-4000;Merge almost;Merge reversed;Quick 0-5;Quick 0-4000;Quick almost;Quick reversed;Heap 0-5;Heap 0-4000;Heap almost;Heap reversed;Shell Ciura 0-5;Shell Ciura 0-4000;Shell Ciura almost;Shell Ciura reversed;Shell 0-5;Shell 0-4000;Shell almost;Shell reversed;
100;20300;21262;18287;19179;39404;40825;18341;40971;38741;41112;783;41433;34166;39645;529;40308;18220;19545;558;38720;9924;11408;1870;15712;69537;69745;71045;65525;15471;15441;15887;15391;9433;9354;7341;7258;5445;5529;13583;13958;9987;12104;17262;9216;20833;25033;2562;44104;6204;9437;2312;4754;
200;71804;81316;69625;73028;152854;184183;74620;157570;152975;161762;1475;165179;136366;139383;1079;145837;63983;81704;1158;157937;34683;41670;4354;59845;68712;65979;66587;65991;20545;20474;20495;20487;19312;22266;15304;16512;17129;14995;48654;48058;23512;25333;24483;21270;71554;84183;4625;154400;13116;22679;5275;10616;
300;154133;171237;152375;157637;340283;370733;147129;349062;354004;375225;2245;356866;303066;347083;1654;327329;144062;188075;1650;331229;65170;81074;6654;122441;72145;73162;72341;68033;25970;26216;25854;25858;30587;34308;23779;23737;30116;25008;94441;108383;42779;40345;39924;33666;156974;193512;17358;383412;21591;37895;9104;17929;
400;271395;295950;267329;282162;608829;654666;267808;619520;633425;672583;2820;626687;531970;593825;2233;590225;241279;300770;2029;584146;104562;130404;9399;212383;70808;69846;69845;73345;32524;31362;31529;31933;43166;50737;33758;33045;52154;41575;163495;182070;49324;55445;56354;49695;269470;322608;10300;637774;30475;54091;12129;24316;
500;435933;438237;406387;441845;960929;1018187;410529;948825;973395;1044829;3491;964891;842900;911750;2812;913358;382341;461241;2541;911862;158008;197558;12216;327608;77908;71858;72100;72258;36929;37220;36812;36779;52791;62983;41291;39941;70308;54129;250691;270274;63212;71183;69579;61762;408562;493762;13191;954554;35345;67375;15095;33295;
600;597762;622874;589791;616995;1379416;1458070;584924;1378466;1421862;1530270;5241;1401170;1216637;1331700;3350;1315004;539816;669216;3041;1323433;216329;283300;17641;469600;74666;80066;73854;73795;42433;42262;42270;42237;65199;77654;51095;49950;100424;63108;358600;392479;76320;87546;83062;75545;575641;712512;16204;1374854;41562;86712;21274;42537;
700;818512;839287;791583;840625;1915312;2017870;816904;1891333;1973816;2099104;4879;1960846;1704987;1865308;3925;1865762;769670;935125;3537;1798499;299075;383916;18283;641000;76362;75770;77595;78374;50675;51308;48820;48783;78162;93116;62216;59683;122758;78300;489545;527158;91283;106841;99683;90416;793941;986424;19187;1871766;47395;101829;23933;47983;
800;1076837;1089270;1042554;1094012;2448954;2590258;1035766;2414925;2524487;2681429;5537;2502187;2189483;2371546;4545;2363904;994687;1220012;4045;2396379;401745;483854;24241;848704;80783;80320;78454;80512;54170;53750;57741;58975;91816;110054;69062;68250;159566;105933;652766;701804;112412;139579;118650;105570;1058379;1297204;22591;2485987;66787;130070;29004;57866;
900;1373479;1405320;1342637;1426749;3221054;3398537;1442266;3319104;3369521;3561683;6570;3413933;3121437;3944016;5354;3209612;1319095;1624341;4796;3172983;546029;627187;25675;1104904;86716;92041;90087;80024;58779;58616;61050;59712;101962;123341;79629;77146;197745;109649;800079;860720;118420;139858;130337;123304;1294820;1567562;26029;3070266;70166;156016;30749;69862;
1000;1649945;1683600;1618741;1709666;3826029;4062570;1618433;3802241;3933512;4228462;6916;3884433;3427491;3778749;5658;3651858;1507250;1851987;5054;3660462;577579;732762;28829;1317512;82958;81754;81975;81749;64237;64575;64387;67408;115229;139316;88929;86245;238970;121575;990354;1064162;133383;157895;146812;135362;1579883;1934529;29437;3798645;77874;161562;34458;73912;
1100;1974100;2026083;1996308;2066420;4687187;4973208;1956879;4612321;4845662;5153304;7608;4765574;4238279;4644395;6275;4472516;1877516;2244766;5883;4445920;700487;869574;30766;1557333;84283;83675;83675;87362;69975;72275;69658;69558;125908;156025;99233;97700;279658;139749;1192700;1278316;148975;175720;163233;152320;1927137;2320608;32883;4565874;84587;173458;42112;78550;
